0.4,0.54,0.52,0.44,0.43,0.4825
0.8,1.06,1.06,0.87,0.86,0.9625
1.2,1.6,1.59,1.3,1.29,1.445
1.6,2.13,2.12,1.72,1.72,1.9225
2,2.66,2.66,2.16,2.16,2.41
2.4,3.2,3.2,2.59,2.59,2.895
2.8,3.72,3.73,3.02,3.02,3.3725
3.2,4.25,4.25,3.45,3.45,3.85
